Epic,Feature,Task,Priority,Status,Complexity,Dependencies,Notes
Strapi Backend - Authentication & Authorization,User Authentication,Implement JWT-based authentication with Strapi Users & Permissions plugin,High,Complete,Medium,None,JWT tokens include user tier for RBAC
Strapi Backend - Authentication & Authorization,User Authentication,Create custom auth controller to inject tier into JWT payload,High,Complete,Medium,JWT Authentication,Located in src/extensions/users-permissions/controllers/auth.ts
Strapi Backend - Authentication & Authorization,Access Tier System,Design and implement Access Tier content type with privilege definitions,High,Complete,High,User Authentication,Defines allowed telemetry fields per tier (public/dispatcher/fleet_manager/admin)
Strapi Backend - Authentication & Authorization,Access Tier System,Create User Profile content type with access tier relations,High,Complete,Medium,Access Tier Content Type,Links users to their access tier
Strapi Backend - Authentication & Authorization,RBAC Policy,Implement check-access-tier policy for route-level authorization,High,Complete,High,Access Tier System,Located in src/extensions/users-permissions/policies/rbacTierPolicy.ts
Strapi Backend - Authentication & Authorization,Permission Bootstrap,Auto-configure public/authenticated permissions on server startup,High,Complete,High,RBAC Policy,Scans route files for minTier requirements and sets permissions
Strapi Backend - Authentication & Authorization,GraphQL User Extensions,Extend GraphQL UsersPermissionsUser and UsersPermissionsMe with tier field,Medium,Complete,Medium,Access Tier System,Located in src/extensions/graphql/users-permissions/extension.ts
Strapi Backend - Content Types,Transit Data Model,Create Route content type with GTFS fields and geometry support,High,Complete,High,None,Includes short_name long_name color route_type
Strapi Backend - Content Types,Transit Data Model,Create Stop content type with location and accessibility fields,High,Complete,Medium,Route,GTFS stop data with lat/lon
Strapi Backend - Content Types,Transit Data Model,Create Trip content type with service and route relations,High,Complete,Medium,Route Service,GTFS trip data
Strapi Backend - Content Types,Transit Data Model,Create Stop Time content type linking trips and stops,High,Complete,Medium,Trip Stop,GTFS stop_times with arrival/departure
Strapi Backend - Content Types,Transit Data Model,Create Service content type for calendar definitions,High,Complete,Medium,None,Service schedules with weekday flags
Strapi Backend - Content Types,Transit Data Model,Create Calendar Date content type for service exceptions,Medium,Complete,Low,Service,Service date exceptions
Strapi Backend - Content Types,Transit Data Model,Create Shape content type for route geometry points,High,Complete,Medium,None,Individual geometry points with sequence
Strapi Backend - Content Types,Transit Data Model,Create Route Shape content type linking routes to shapes,High,Complete,Medium,Route Shape,Junction table for route-shape many-to-many
Strapi Backend - Content Types,Fleet Management,Create Vehicle content type with registration and route assignment,High,Complete,Medium,Route,Vehicle registry with reg number assignment
Strapi Backend - Content Types,Fleet Management,Create Driver content type with license and contact info,High,Complete,Medium,None,Driver registry with license validation
Strapi Backend - Content Types,Fleet Management,Create GPS Device content type with IMEI and assignment tracking,High,Complete,Medium,Vehicle,GPS device registry and vehicle assignment
Strapi Backend - Content Types,Fleet Management,Create Depot content type with location and capacity,High,Complete,Medium,None,Depot/garage management
Strapi Backend - Content Types,Fleet Management,Create Vehicle Status content type for operational state tracking,Medium,Complete,Medium,Vehicle,Real-time vehicle operational status
Strapi Backend - Content Types,Fleet Management,Create Vehicle Event content type for audit trail,Medium,Complete,Low,Vehicle,Event logging for vehicles
Strapi Backend - Content Types,Geospatial Features,Create Building content type with polygon geometry,Medium,Complete,Medium,None,Building footprints for map display
Strapi Backend - Content Types,Geospatial Features,Create Highway content type with road network data,Medium,Complete,Medium,None,Road network for routing
Strapi Backend - Content Types,Geospatial Features,Create Highway Shape content type for road geometry,Medium,Complete,Medium,Highway,Road geometry polylines
Strapi Backend - Content Types,Geospatial Features,Create Place content type for named locations,Low,Complete,Low,None,POI and landmarks
Strapi Backend - Content Types,Geospatial Features,Create POI content type with category and location,Low,Complete,Low,None,Points of interest
Strapi Backend - Content Types,Geospatial Features,Create Geofence content type for virtual boundaries,Medium,Complete,Medium,None,Virtual boundary definitions
Strapi Backend - Content Types,Geospatial Features,Create Geofence Geometry content type for polygon storage,Medium,Complete,Medium,Geofence,Geofence polygon coordinates
Strapi Backend - Content Types,Geospatial Features,Create Region content type for administrative areas,Low,Complete,Low,None,Administrative boundaries
Strapi Backend - Content Types,Geospatial Features,Create Landuse Zone content type for zoning data,Low,Complete,Low,None,Land use classification
Strapi Backend - Content Types,Configuration,Create Agency content type for transit operator info,Medium,Complete,Low,None,Transit agency metadata
Strapi Backend - Content Types,Configuration,Create Feed Info content type for GTFS metadata,Medium,Complete,Low,None,GTFS feed information
Strapi Backend - Content Types,Configuration,Create Autostart content type for service configuration,Low,Complete,Low,None,Service auto-start settings
Strapi Backend - Content Types,Configuration,Create Operational Configuration content type,Medium,Complete,Medium,None,System-wide operational settings
