Work Item Type,Title 1,Title 2,Title 3,Title 4,Description,Parent
Epic,Arknet Transit System Installer,,,,"Automate deployment for all subsystems, simulators, Next.js app, launcher, Redis, Python, Node.js, Windows/Linux services.",
Feature,,Windows Installer Automation,,,"Automate installation and configuration of all services and dependencies on Windows.",1
Feature,,Linux Installer Automation,,,"Automate installation and configuration of all services and dependencies on Linux.",1
Feature,,Next.js Dashboard Deployment,,,"Automate deployment of Next.js dashboard frontend.",1
Feature,,Redis Service Setup,,,"Automate Redis installation and health check integration.",1
User Story,,,Windows: Install Python,,"Ensure Python is installed and configured for all backend services.",2
User Story,,,Windows: Install Node.js,,"Ensure Node.js is installed for frontend and API services.",2
User Story,,,Windows: Install Redis,,"Automate Redis server installation and configuration.",2
User Story,,,Windows: Install Launcher,,"Automate launcher service installation and setup.",2
User Story,,,Linux: Install Python,,"Ensure Python is installed and configured for all backend services.",3
User Story,,,Linux: Install Node.js,,"Ensure Node.js is installed for frontend and API services.",3
User Story,,,Linux: Install Redis,,"Automate Redis server installation and configuration.",3
User Story,,,Linux: Install Launcher,,"Automate launcher service installation and setup.",3
User Story,,,Deploy Next.js Dashboard,,"Automate build and deployment of dashboard frontend.",4
User Story,,,Configure Redis Health Check,,"Integrate Redis health check into all relevant services.",5
Task,,,,Script: Python Install (Win),"Create PowerShell script to install Python and set environment variables.",6
Task,,,,Script: Node.js Install (Win),"Create PowerShell script to install Node.js and set environment variables.",7
Task,,,,Script: Redis Install (Win),"Create PowerShell script to install Redis and configure service.",8
Task,,,,Script: Launcher Install (Win),"Create PowerShell script to install and register launcher as a service.",9
Task,,,,Script: Python Install (Linux),"Create Bash script to install Python and set environment variables.",10
Task,,,,Script: Node.js Install (Linux),"Create Bash script to install Node.js and set environment variables.",11
Task,,,,Script: Redis Install (Linux),"Create Bash script to install Redis and configure service.",12
Task,,,,Script: Launcher Install (Linux),"Create Bash script to install and register launcher as a service.",13
Task,,,,Build Next.js,"Create build script for Next.js dashboard.",14
Task,,,,Deploy Next.js,"Create deployment script for Next.js dashboard.",14
Task,,,,Integrate Redis Health,"Update backend and frontend to report Redis health status.",15
Task,,,,Test Redis Health,"Write integration tests for Redis health reporting.",15
