ID,Work Item Type,Title,Description,Parent
1,Epic,Arknet Transit System Installer,Automate deployment for all subsystems, simulators, Next.js app, launcher, Redis, Python, Node.js, Windows/Linux services.,
2,Feature,Windows Installer Automation,Automate installation and configuration of all services and dependencies on Windows.,1
3,Feature,Linux Installer Automation,Automate installation and configuration of all services and dependencies on Linux.,1
4,Feature,Next.js Dashboard Deployment,Automate deployment of Next.js dashboard frontend.,1
5,Feature,Redis Service Setup,Automate Redis installation and health check integration.,1
6,User Story,Windows: Install Python,Ensure Python is installed and configured for all backend services.,2
7,User Story,Windows: Install Node.js,Ensure Node.js is installed for frontend and API services.,2
8,User Story,Windows: Install Redis,Automate Redis server installation and configuration.,2
9,User Story,Windows: Install Launcher,Automate launcher service installation and setup.,2
10,User Story,Linux: Install Python,Ensure Python is installed and configured for all backend services.,3
11,User Story,Linux: Install Node.js,Ensure Node.js is installed for frontend and API services.,3
12,User Story,Linux: Install Redis,Automate Redis server installation and configuration.,3
13,User Story,Linux: Install Launcher,Automate launcher service installation and setup.,3
14,User Story,Deploy Next.js Dashboard,Automate build and deployment of dashboard frontend.,4
15,User Story,Configure Redis Health Check,Integrate Redis health check into all relevant services.,5
16,Task,Script: Python Install (Win),Create PowerShell script to install Python and set environment variables.,6
17,Task,Script: Node.js Install (Win),Create PowerShell script to install Node.js and set environment variables.,7
18,Task,Script: Redis Install (Win),Create PowerShell script to install Redis and configure service.,8
19,Task,Script: Launcher Install (Win),Create PowerShell script to install and register launcher as a service.,9
20,Task,Script: Python Install (Linux),Create Bash script to install Python and set environment variables.,10
21,Task,Script: Node.js Install (Linux),Create Bash script to install Node.js and set environment variables.,11
22,Task,Script: Redis Install (Linux),Create Bash script to install Redis and configure service.,12
23,Task,Script: Launcher Install (Linux),Create Bash script to install and register launcher as a service.,13
24,Task,Build Next.js,Create build script for Next.js dashboard.,14
25,Task,Deploy Next.js,Create deployment script for Next.js dashboard.,14
26,Task,Integrate Redis Health,Update backend and frontend to report Redis health status.,15
27,Task,Test Redis Health,Write integration tests for Redis health reporting.,15
